은행id,은행,지점명,주소,위도,경도,구군,읍면동
159,농협은행,NH농협은행토곡지점,부산 연제구 연산동 2220-2,35.1800610815599,129.107978655423,연제구,연산동
160,농협은행,NH농협은행영도지점,부산 영도구 영선동2가 60,35.0885088428139,129.041871970918,영도구,영선동
161,농협은행,NH농협은행동삼동지점,부산 영도구 동삼동 268-6,35.0791771142074,129.070617563846,영도구,동삼동
162,농협은행,NH농협은행자갈치역지점,부산 중구 남포동6가 1,35.0974285124063,129.027764296645,중구,남포동
163,농협은행,NH농협은행부산부평금융센터,부산 중구 부평동1가 5-1,35.1027613606048,129.026759263177,중구,부평동
164,농협은행,NH농협은행부산중앙동지점,부산 중구 중앙동4가 36-14,35.1047169717965,129.035305214356,중구,중앙동
165,농협은행,NH농협은행마린시티금융센터,부산 해운대구 우동 1434,35.1578598537693,129.147548677352,해운대구,우동
166,농협은행,NH농협은행센텀시티지점,부산 해운대구 우동 1498,35.1705261851076,129.132772065603,해운대구,우동
167,농협은행,NH농협은행좌동지점,부산 해운대구 좌동 1289-5,35.1774496480019,129.175771469114,해운대구,좌동
168,농협은행,NH농협은행해운대지점,부산 해운대구 중동 1394-33,35.1626460015343,129.163132833232,해운대구,중동
169,우리은행,우리은행녹산공단금융센터,부산 강서구 송정동 1631-4,35.0902574009095,128.854642506916,강서구,송정동
170,우리은행,우리은행부산명지출장소,부산 강서구 명지동 3412-2,35.0979532724789,128.918532247034,강서구,명지동
171,우리은행,우리은행기장지점,부산 기장군 기장읍 동부리 267,35.2450175692532,129.214302275553,기장군,기장읍
172,우리은행,우리은행부산정관지점,부산 기장군 정관읍 매학리 713-1,35.3219923199228,129.175270285392,기장군,정관읍
173,우리은행,우리은행BIFC금융센터,부산 남구 문현동 1229-1,35.1471904547412,129.065835641197,남구,문현동
174,우리은행,우리은행대연동금융센터,부산 남구 대연동 1758-9,35.1350796967312,129.087390429844,남구,대연동
175,우리은행,우리은행메트로시티지점,부산 남구 용호동 170,35.1256970880271,129.110676397742,남구,용호동
176,우리은행,우리은행초량지점,부산 동구 초량동 1146-11,35.1223233144495,129.043221440717,동구,초량동
177,우리은행,우리은행범일동지점,부산 동구 범일동 643-4,35.1368799823364,129.058280948083,동구,범일동
178,우리은행,우리은행온천동금융센터,부산 동래구 온천동 169-63,35.2188416493964,129.08286040974,동래구,온천동
179,우리은행,우리은행온천남지점,부산 동래구 온천동 707,35.2096352674971,129.073374542522,동래구,온천동
180,우리은행,우리은행동래금융센터,부산 동래구 수안동 457,35.2028756887965,129.085806602402,동래구,수안동
181,우리은행,우리은행부암동지점,부산 부산진구 부암동 500,35.1676241998293,129.038401896907,부산진구,부암동
182,우리은행,우리은행백병원출장소,부산 부산진구 개금동 633-165,35.1459074654471,129.020355008914,부산진구,개금동
183,우리은행,우리은행부전동금융센터,부산 부산진구 부전동 254-1,35.1551506910139,129.058887143547,부산진구,부전동
184,우리은행,우리은행서면지점,부산 부산진구 부전동 157-10,35.1569214554491,129.059524313356,부산진구,부전동
186,우리은행,우리은행구포지점,부산 북구 구포동 1060-400,35.2052678008701,128.99594051438,북구,구포동
187,우리은행,우리은행화명동지점,부산 북구 화명동 2277-2,35.2344958877531,129.012661633247,북구,화명동
188,우리은행,우리은행르네시떼지점,부산 사상구 괘법동 529-1,35.1637648754403,128.978115655211,사상구,괘법동
