번호,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위도,경도,geometry,구군,동
284,대구광역시 수성구 만촌1동 1356번지 5호,대구광역시 수성구 동원로 136 (만촌동),(주)이마트 만촌점,대형마트,347757.9856,264692.7442,35.8709430437484,128.634027465405,POINT (347757.9856 264692.7442),수성구,만촌1동
285,대구광역시 수성구 만촌동 881호,대구광역시 수성구 교학로5길 92-5 (만촌동),선스포츠프라자,그 밖의 대규모점포,,,,,POINT EMPTY,수성구,만촌동
286,대구광역시 수성구 두산동 743-5호,,메가플러스,그 밖의 대규모점포,,,35.8246512654237,128.62531680982,POINT EMPTY,수성구,두산동
287,대구광역시 수성구 지산동 994호,대구광역시 수성구 동대구로12안길 10 (지산동),두원시장,그 밖의 대규모점포,346786.9139,260749.3995,35.8358059148216,128.625235698448,POINT (346786.9139 260749.3995),수성구,지산동
288,대구광역시 수성구 지산동 1199번지 10호,대구광역시 수성구 용학로42길 9 (지산동),지산목련시장,그 밖의 대규모점포,347420.4001,259103.974,35.8211619679621,128.631758276334,POINT (347420.4001 259103.974),수성구,지산동
289,대구광역시 수성구 황금동 366번지 캐슬골드파크 2단지,"대구광역시 수성구 청수로 235, 종합상가동 (황금동, 캐슬골드파크 2단지)",롯데 프리미엄 푸드마켓 황금점,구분없음,347544.0892,261408.2129,35.8416798620396,128.633685231479,POINT (347544.0892 261408.2129),수성구,황금동
290,대구광역시 수성구 중동 333번지 7호,대구광역시 수성구 수성로 227 (중동),롯데쇼핑(주)롯데슈퍼 수성점,구분없음,345582.7818,261837.876,35.8455270549458,128.611954240157,POINT (345582.7818 261837.876),수성구,중동
291,대구광역시 수성구 범물1동 1273번지 동아백화점수성점,"대구광역시 수성구 지범로 191 (범물동,동아백화점수성점)",동아백화점 수성점,복합쇼핑몰,348194.4994,259144.5193,35.8211121345129,128.640448806551,POINT (348194.4994 259144.5193),수성구,범물1동
292,대구광역시 수성구 수성동4가 1090번지 8호 수성하이츠 쇼핑몰,"대구광역시 수성구 수성로 393 (수성동4가,수성하이츠 쇼핑몰)",수성하이츠 쇼핑몰,복합쇼핑몰,345663.5998,263506.5001,35.860924207968026,128.61344492254895,POINT (345663.5998 263506.5001),수성구,수성동
293,대구광역시 수성구 두산동 113호  SK리더스뷰 지하1층,대구광역시 수성구 동대구로 95 (두산동),홈플러스 대구 수성점,대형마트,346586.098,261066.0952,35.8387186092948,128.623094441987,POINT (346586.098 261066.0952),수성구,두산동
530,대구광역시 중구 공평동 58번지 6호,대구광역시 중구 동성로6길 61 (공평동),태왕스파크,그 밖의 대규모점포,344317.2196,264349.4852,35.86871766695151,128.59869676685284,POINT (344317.2196 264349.4852),중구,공평동
582,대구광역시 중구 대신동 115-30 동산상가,"대구광역시 중구 큰장로26길 65, 동산상가 (대신동)",동산상가,그 밖의 대규모점포,342780.4457,264345.3644,35.8689902585842,128.581726178462,POINT (342780.4457 264345.3644),중구,대신동
583,대구광역시 중구 동성로2가 41번지 8호,대구광역시 중구 국채보상로 지하 580 (동성로2가),(주)대현프리몰 대구점,시장,344058.726,264583.432,35.87086329960003,128.59587792581718,POINT (344058.726 264583.432),중구,동성로2가
584,대구광역시 중구 대신동 115-1 대신지하상가,"대구광역시 중구 국채보상로 지하470, 대신지하상가 (대신동)",대신지하상가,그 밖의 대규모점포,342797.3745,264457.4201,35.8693079008823,128.582315399953,POINT (342797.3745 264457.4201),중구,대신동
