번호,소속지회,경로당명,주소
286,달서구지회,상인신일해피트리,"대구광역시 달서구  월서로 31(상인동,신일해피트리) "
287,달서구지회,이곡2동,대구광역시 달서구  선원로23길 77(이곡동) 
288,달서구지회,성당코오롱하늘채,"대구광역시 달서구  장기로 160(감삼동,성당코오롱하늘채) "
289,달서구지회,상인자이,"대구광역시 달서구  상원로 142(상인동, 상인자이) "
290,달서구지회,당산,대구광역시 달서구  선원로15안길41 (신당동) 
291,달서구지회,진천트윈팰리스,"대구광역시 달서구  월배로 71(진천동, 진천트윈팰리스) "
292,달서구지회,진천역화성파크리젠시,"대구광역시 달서구  월배로11길9-16(유천동,화성파크리젠시2단지) "
293,달서구지회,상인대성스카이렉스,"대구광역시 달서구  월배로183(상인동,상인대성스카이렉스) "
294,달서구지회,성당래미안e편한세상2단지,"대구광역시 달서구  장기로 145(본리동,성당래미안e편한세상) "
295,달서구지회,성서우방유쉘,"대구광역시 달서구  달구벌대로 995(파호동, 성서우방유쉘) "
296,달서구지회,대곡역화성파크드림,"대구광역시 달서구  달서대로 41(유천동,화성파크드림) "
297,달서구지회,본리롯데캐슬1차,"대구광역시 달서구  대명천로 101(본리동, 본리롯데캐슬) "
298,달서구지회,상인중석타운,"대구광역시 달서구  월곡로 291(상인동,중석타운) "
299,달서구지회,성당포스코더샾,"대구광역시 달서구  장기로115(성당동,성당동더샾) "
300,달서구지회,성당래미안e편한세상1단지,"대구광역시 달서구  장기로 189(본리동,래미안e편한세상1) "
301,달서구지회,월성푸르지오,"대구광역시 달서구  조암로6길20(월성동,월성푸르지오) "
302,달서구지회,성당래미안e편한세상3단지,"대구광역시 달서구  장기로 127(성당동,성당래미안e편한세상) "
303,달서구지회,상인역 e편한세상,"대구광역시 달서구 월서로14, 월서로3길15(상인동,상인역e편한세상1,2) "
304,달서구지회,감삼친화,대구광역시 달서구  당산로187(감삼동) 
305,달서구지회,진천태왕아너스,"대구광역시 달서구  상화로5길23(진천동,태왕아너스1단지) "
306,달서구지회,본리 2차롯데캐슬,"대구광역시 달서구  대명천로 119(본리동,2차롯데캐슬) "
307,달서구지회,월배힐스테이트,"대구광역시 달서구  조암남로132(대천동,월배힐스테이트) "
308,달서구지회,성당두산위브,"대구광역시 달서구  당산로82(성당동,두산위브)  "
309,달서구지회,신서,대구광역시 달서구  서당로9길 34-18 (신당동) 
310,달서구지회,상인화성파크드림1단지,"대구광역시 달서구  송현로 7길 10(상인동,화성파크드림1) "
311,달서구지회,상인화성파크드림2단지,"대구광역시 달서구  송현로7길 9(상인동,화성파크드림2) "
312,달서구지회,학산,"대구광역시 달서구  월성로77(월성동,월성주공2) "
313,달서구지회,월성코오롱하늘채2단지,"대구광역시 달서구  조암남로16길20(월성동,코오롱하늘채2단지) "
314,달서구지회,진천역대성스카이렉스 ,"대구광역시 달서구  월배로 80(진천동,진천역대성스카이렉스) "
315,달서구지회,월성 e편한세상,"대구광역시 달서구  조암남로 10(월성동,월성e편한세상) "
316,달서구지회,상인푸르지오,"대구광역시 달서구  상화로 235(상인동, 대구상인푸르지오) "
317,달서구지회,진천태왕아너스2단지,"대구광역시 달서구 상화로 5길 24(진천동, 진천태왕아너스) "
