약국명,주소,위도,경도
정문약국,대구광역시 달서구 감삼북길 130 (감삼동),35.8512709,128.5417053
지혜약국,"대구광역시 달서구 도원로 30, 205호 (도원동, 대곡프라자)",35.8072101,128.5355456
연세에스약국,"대구광역시 달서구 야외음악당로 201, 102호 (두류동)",35.8536598,128.5569109
성보약국,대구광역시 달서구 야외음악당로39길 65 (두류동),35.8546256,128.5531416
성서종합약국,대구광역시 달서구 계대동문로 120 (이곡동),35.8549105,128.5055179
마루약국,"대구광역시 달서구 조암로 1, 112호 (월성동, 미래타워)",35.825673,128.5297384
송현한마음약국,"대구광역시 달서구 월배로 379, 1층 (송현동)",35.8287536,128.5493683
상인약국,"대구광역시 달서구 월곡로 260, 1층 (상인동, 상인프라자)",35.8177189,128.539452
황소약국,"대구광역시 달서구 성서로 420, 109호 (이곡동, 메가타운)",35.8548234,128.5077809
대성약국,대구광역시 달서구 월배로 130 (진천동),35.8148985,128.530295
송현동산약국,대구광역시 달서구 월배로 489 (송현동),35.8322292,128.5485406
수약국,"대구광역시 달서구 상인로 14, 103호 (상인동)",35.8095228,128.5515758
우리함께약국,"대구광역시 달서구 달구벌대로 1690, 1층 (두류동)",35.8550994,128.5507146
우리약국,"대구광역시 달서구 월배로 58, 1층 (진천동)",35.8130455,128.5210815
용산현대약국,"대구광역시 달서구 용산로 226, 1층 (용산동)",35.857743,128.5308048
혜안약국,"대구광역시 달서구 진천로 117, 119호 (대천동, 월배이타운)",35.8186984,128.5216293
올리브약국,대구광역시 달서구 비슬로 2720 (대곡동),35.8091836,128.5129834
참좋은약국,대구광역시 달서구 당산로 94 (성당동),35.8458368,128.5447384
새밝은약국,대구광역시 달서구 월배로 233 (상인동),35.8194795,128.5389039
만보약국,"대구광역시 달서구 월배로 113, 1층 (진천동)",35.8148367,128.5269644
빛에약국,"대구광역시 달서구 달구벌대로 1282, 1층 (이곡동)",35.8510993,128.5075904
연세약국,"대구광역시 달서구 야외음악당로 201, 101호 (두류동)",35.8536598,128.5569109
평화약국,"대구광역시 달서구 와룡로 218, 1층 (죽전동)",35.8520718,128.537683
애플약국,"대구광역시 달서구 진천로 93, 애플플라자 108호 (대천동)",35.8166038,128.5225442
은솔약국,"대구광역시 달서구 조암남로 158, 2층 (유천동)",35.8165352,128.5174092
바른약국,대구광역시 달서구 조암로 24 (월성동),35.8255051,128.5271709
건강한약국,"대구광역시 달서구 학산로7길 5 (월성동, 월성동서타운)",35.8287112,128.5317333
늘편한약국,대구광역시 달서구 학산로7길 67 (본동),35.8341746,128.5308937
유니약국,대구광역시 달서구 조암로 4 (월성동),35.8262217,128.5292076
손주약국,대구광역시 달서구 월배로 100 (진천동),35.8151387,128.528152
바오로약국,"대구광역시 달서구 조암로 28, 1층 (월성동)",35.8252471,128.5266813
수정약국,대구광역시 달서구 상화로 300-21 (도원동),35.8074235,128.5472705
대동한마음약국,대구광역시 달서구 상화북로 101 (상인동),35.8115428,128.5375864
다은약국,대구광역시 달서구 월배로 106 (진천동),35.8153651,128.5293576
태양약국,대구광역시 달서구 월배로 63 (진천동),35.8143172,128.5218129
장기참좋은약국,대구광역시 달서구 장기로 268 (장기동),35.8438328,128.5309551
성서까치약국,"대구광역시 달서구 이곡공원로 12, 1층 (이곡동)",35.8548693,128.5086489
보민약국,대구광역시 달서구 월배로 138 (진천동),35.8154103,128.5296338
현약국,대구광역시 달서구 월배로 141 (진천동),35.8160178,128.5297265
은약국,"대구광역시 달서구 상인서로 103-6, 리젠트프라자 702호 (상인동)",35.8184753,128.539842
서부약국,"대구광역시 달서구 구마로 262, 1층 (송현동)",35.8371718,128.5566137
연세중앙약국,"대구광역시 달서구 야외음악당로 199, 1층 (두류동)",35.8535481,128.5567902
신애약국,대구광역시 달서구 월배로 14 (진천동),35.8112036,128.5173584
햇살약국,대구광역시 달서구 용산로24길 87 (감삼동),35.8492432,128.5351144
