은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,경로당수,복지회관수,버스정류장수,지하철역수,경유노선합
82,iM뱅크(구 대구은행),신천4동지점,대구광역시 동구 신천동 동부로30길23-1,동구,신천4동,35.87499558,128.6290632,2.830739105,6.33465883,10733,2182,4.060712816542587,1,3.279367469879518,4,4,0,13,1,31.320814616935152
83,iM뱅크(구 대구은행),신천동지점,대구광역시 동구 신천동 송라로58,동구,신천3동,35.87253559,128.6190586,5.871781068,5.22276892,14243,2570,3.4310596373880733,1,4.088471231866241,1,16,0,18,1,26.32514262719859
84,iM뱅크(구 대구은행),신평지점,대구광역시 서구 평리동 국채보상로286,서구,평리4동,35.87147898,128.5620941,5.560758755,1.867575379,15549,4081,5.690365122874559,4,1.7013269916400295,0,6,1,9,0,16.641953754639612
85,iM뱅크(구 대구은행),안심지점,대구광역시 동구 서호동 안심로41길36,동구,안심4동,35.86936116,128.708641,5.750202979,4.038914996,26642,5255,3.893972470407302,3,2.8523789034454143,1,11,1,9,0,26.397686229746434
86,iM뱅크(구 대구은행),연경점,대구광역시 북구 연경동 동화천로241,북구,연경동,35.94264884,128.617379,2.178415302,3.941680758,33237,5973,3.410689410960546,1,8.236338209982788,2,4,0,15,0,25.96081711759016
87,iM뱅크(구 대구은행),영대병원점,대구광역시 남구 대명동 현충로170,남구,대명5동,35.8476702,128.5842035,2.54814437,1.0,7424,1545,4.193222733768787,3,1.37570690934657,3,4,0,4,0,8.94427190999916
88,iM뱅크(구 대구은행),옥포점,대구광역시 달성군 옥포읍 돌미상업로2길1,달성군,옥포읍,35.7823888,128.4424125,2.470457737,1.0,22776,5371,4.956494450665361,1,6.055446274895501,2,4,0,6,0,7.464101615137754
89,iM뱅크(구 대구은행),용산동지점,대구광역시 달서구 용산동 용산로235,달서구,용산1동,35.85849113,128.5302712,5.442229725,1.512837669,28582,4872,3.1560851911731422,4,2.452398881239243,7,14,0,8,0,15.04813297715088
90,iM뱅크(구 대구은행),월배영업부,대구광역시 달서구 진천동 월배로109,달서구,진천동,35.81478782,128.5262545,5.969207747,4.841591155,49953,9711,3.815682519796134,5,3.108233956233096,1,13,0,9,2,19.2209811455614
91,iM뱅크(구 대구은행),월성동지점,대구광역시 달서구 월성동 월성로30,달서구,월성2동,35.83157465,128.5323125,4.426379106,3.752684978,13814,5124,8.678146185041296,3,1.866701499953897,0,9,0,11,0,25.111667470117474
92,iM뱅크(구 대구은행),월촌역지점,대구광역시 달서구 송현동 월배로322,달서구,송현1동,35.82412864,128.54632,4.164920189,4.329548694,16363,4756,6.467012074834887,2,2.691211273666093,6,10,0,13,1,22.31194381616187
93,iM뱅크(구 대구은행),유통단지영업부,대구광역시 북구 산격동 유통단지로73,북구,산격2동,35.90795214,128.6102898,2.136068714,4.937199417,9645,2523,5.6662823219945295,4,1.361088486599459,0,1,0,15,0,30.43363824586013
